ref,component,description,quantity,value,source
SW1-SW67,Switches,MX mechanical switches,67,,grant
D1-D67,Diode,1N4148 (SOD-27 through-hole),67,1N4148,
U1,Controller,Raspberry Pi Pico,1,RP2040,
ENC1,Rotary encoder,Alps EC11 encoder + knob (with push),1,EC11,
D101-D105,RGB,SK6812MINI-E addressable LED (5 zones),5,SK6812,
C101-C105,Capacitor,100nF decoupling (0805),5,100nF,
J1,Display,OLED header 1x04 (SSD1306 128x64 module),1,SSD1306,
R1-R2,Resistor,I2C pull-up 4.7k (0805),2,4.7k,
-,Keycaps,MX keycap set,1,,grant
-,Cable,USB-C cable,1,,grant
-,Stabilizers,MX plate/PCB stabilizers,5,,
-,Case,3D-printed case,1,,
-,Plate,Switch plate,1,,
